match_id,season,phase,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder,tournament_year,source_file,over_no,ball_no,ball_runs,wicket_event,legal_delivery,current_score,current_wickets,balls_bowled,balls_remaining,wickets_remaining,current_run_rate,run_rate,last_30_runs,winner,target,first_innings_total,second_innings_total,runs_required,required_run_rate,pressure_index,projected_score,win_probability
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,6.3,Sikandar Raza,Tanwir Afzal,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,6,3,1,0,1,54,3,39,81,7,8.307692307692308,8.307692307692308,43.0,ZIM,159.0,158.0,144.0,,,0.7423076923076914,160.45887756347656,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,6.4,V Sibanda,Tanwir Afzal,2,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,6,4,2,0,1,56,3,40,80,7,8.4,8.4,41.0,ZIM,159.0,158.0,144.0,,,0.6499999999999995,159.94369506835938,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,6.5,V Sibanda,Tanwir Afzal,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,6,5,0,0,1,56,3,41,79,7,8.195121951219512,8.195121951219512,40.0,ZIM,159.0,158.0,144.0,,,0.8548780487804875,160.98826599121094,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,6.6,V Sibanda,Tanwir Afzal,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,6,6,1,0,1,57,3,42,78,7,8.142857142857142,8.142857142857142,37.0,ZIM,159.0,158.0,144.0,,,0.9071428571428576,160.08843994140625,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,7.1,V Sibanda,RJ Campbell,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,7,1,1,0,1,58,3,43,77,7,8.093023255813954,8.093023255813954,38.0,ZIM,159.0,158.0,144.0,,,0.9569767441860462,158.34678649902344,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,7.2,Sikandar Raza,RJ Campbell,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,7,2,1,0,1,59,3,44,76,7,8.045454545454545,8.045454545454545,39.0,ZIM,159.0,158.0,144.0,,,1.0045454545454549,158.0464324951172,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,7.3,V Sibanda,RJ Campbell,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,7,3,1,0,1,60,3,45,75,7,8.0,8.0,36.0,ZIM,159.0,158.0,144.0,,,1.0499999999999998,157.47630310058594,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,7.4,Sikandar Raza,RJ Campbell,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,7,4,1,0,1,61,3,46,74,7,7.956521739130435,7.956521739130435,36.0,ZIM,159.0,158.0,144.0,,,1.0934782608695652,157.47630310058594,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,7.5,V Sibanda,RJ Campbell,1,0,0,0,0.0,0,run out,Sikandar Raza,Babar Hayat,2016,t20_wc_2016_deliveries.csv,7,5,1,1,1,62,4,47,73,6,7.914893617021277,7.914893617021277,37.0,ZIM,159.0,158.0,144.0,,,1.485106382978723,155.6363983154297,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,7.6,V Sibanda,RJ Campbell,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,7,6,1,0,1,63,4,48,72,6,7.875,7.875,34.0,ZIM,159.0,158.0,144.0,,,1.525,155.2898406982422,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,8.1,V Sibanda,Aizaz Khan,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,8,1,1,0,1,64,4,49,71,6,7.836734693877551,7.836734693877551,31.0,ZIM,159.0,158.0,144.0,,,1.563265306122449,156.05126953125,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,8.2,MN Waller,Aizaz Khan,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,8,2,0,0,1,64,4,50,70,6,7.68,7.68,30.0,ZIM,159.0,158.0,144.0,,,1.7200000000000002,154.78785705566406,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,8.3,MN Waller,Aizaz Khan,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,8,3,0,0,1,64,4,51,69,6,7.529411764705882,7.529411764705882,30.0,ZIM,159.0,158.0,144.0,,,1.8705882352941177,155.21270751953125,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,8.4,MN Waller,Aizaz Khan,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,8,4,1,0,1,65,4,52,68,6,7.5,7.5,27.0,ZIM,159.0,158.0,144.0,,,1.9,155.21270751953125,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,8.5,V Sibanda,Aizaz Khan,4,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,8,5,4,0,1,69,4,53,67,6,7.811320754716981,7.811320754716981,31.0,ZIM,159.0,158.0,144.0,,,1.5886792452830192,156.05126953125,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,8.6,V Sibanda,Aizaz Khan,2,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,8,6,2,0,1,71,4,54,66,6,7.888888888888889,7.888888888888889,33.0,ZIM,159.0,158.0,144.0,,,1.5111111111111106,156.4802703857422,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,9.1,MN Waller,RJ Campbell,4,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,9,1,4,0,1,75,4,55,65,6,8.181818181818182,8.181818181818182,37.0,ZIM,159.0,158.0,144.0,,,1.2181818181818185,152.4623565673828,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,9.2,MN Waller,RJ Campbell,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,9,2,0,0,1,75,4,56,64,6,8.035714285714286,8.035714285714286,37.0,ZIM,159.0,158.0,144.0,,,1.3642857142857134,155.95945739746094,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,9.3,MN Waller,RJ Campbell,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,9,3,0,0,1,75,4,57,63,6,7.894736842105263,7.894736842105263,37.0,ZIM,159.0,158.0,144.0,,,1.505263157894737,157.5688018798828,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,9.4,MN Waller,RJ Campbell,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,9,4,0,0,1,75,4,58,62,6,7.758620689655173,7.758620689655173,37.0,ZIM,159.0,158.0,144.0,,,1.641379310344827,156.68276977539062,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,9.5,MN Waller,RJ Campbell,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,9,5,1,0,1,76,4,59,61,6,7.728813559322034,7.728813559322034,37.0,ZIM,159.0,158.0,144.0,,,1.6711864406779662,156.68276977539062,
